2021-09-22 16:11:18.630 INFO  [main] [] com.whw.footstones.BasicApplication: Starting BasicApplication using Java 1.8.0_171 on 172-15-16-63.lightspeed.brhmal.sbcglobal.net with PID 2375 (/Users/chenlinya/github/footstones/web/target/classes started by chenlinya in /Users/chenlinya/github/footstones)
2021-09-22 16:11:18.633 INFO  [main] [] com.whw.footstones.BasicApplication: The following profiles are active: mysql,redis
2021-09-22 16:11:19.175 WARN  [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner: No MyBatis mapper was found in '[com.whw.footstones.dao]' package. Please check your configuration.
2021-09-22 16:11:19.274 WARN  [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner: No MyBatis mapper was found in '[com.whw.footstones]' package. Please check your configuration.
2021-09-22 16:11:19.282 WARN  [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner: No MyBatis mapper was found in '[com.whw.footstones]' package. Please check your configuration.
2021-09-22 16:11:19.406 INFO  [main] [] o.s.d.r.config.RepositoryConfigurationDelegate: Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-22 16:11:19.409 INFO  [main] [] o.s.d.r.config.RepositoryConfigurationDelegate: Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-22 16:11:19.433 INFO  [main] [] o.s.d.r.config.RepositoryConfigurationDelegate: Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2021-09-22 16:11:19.874 INFO  [main] [] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'spring.cloud.sentinel-org.springframework.cloud.alibaba.sentinel.SentinelProperties' of type [org.springframework.cloud.alibaba.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-22 16:11:19.879 INFO  [main] [] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration' of type [org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$a1124739] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-22 16:11:20.087 INFO  [main] [] o.s.boot.web.embedded.tomcat.TomcatWebServer: Tomcat initialized with port(s): 9090 (http)
2021-09-22 16:11:20.095 INFO  [main] [] org.apache.catalina.core.StandardService: Starting service [Tomcat]
2021-09-22 16:11:20.095 INFO  [main] [] org.apache.catalina.core.StandardEngine: Starting Servlet engine: [Apache Tomcat/9.0.52]
2021-09-22 16:11:20.154 INFO  [main] [] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]: Initializing Spring embedded WebApplicationContext
2021-09-22 16:11:20.154 INFO  [main] [] o.s.b.w.s.c.ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 1487 ms
2021-09-22 16:11:20.278 INFO  [main] [] o.s.c.a.sentinel.SentinelWebAutoConfiguration: [Sentinel Starter] register Sentinel with urlPatterns: [/*].
2021-09-22 16:11:20.982 INFO  [main] [] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Starting...
2021-09-22 16:11:21.210 INFO  [main] [] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Start completed.
2021-09-22 16:11:21.469 INFO  [main] [] o.s.b.actuate.endpoint.web.EndpointLinksResolver: Exposing 1 endpoint(s) beneath base path '/actuator'
2021-09-22 16:11:21.522 INFO  [main] [] o.s.boot.web.embedded.tomcat.TomcatWebServer: Tomcat started on port(s): 9090 (http) with context path ''
2021-09-22 16:11:21.536 INFO  [main] [] com.whw.footstones.BasicApplication: Started BasicApplication in 3.329 seconds (JVM running for 5.114)
2021-09-22 16:11:28.078 INFO  [SpringApplicationShutdownHook] [] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown initiated...
2021-09-22 16:11:28.092 INFO  [SpringApplicationShutdownHook] [] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown completed.
